T_K,T_C,J_MA_cm2,L_um,MTTF_hours
443.0,169.85,8.0,130.0,196.46694968181487
443.0,169.85,8.0,200.0,197.44346059399967
443.0,169.85,8.0,350.0,215.9846590321011
443.0,169.85,8.0,600.0,195.10344670391362
455.0,181.85,0.5,5.0,
455.0,181.85,0.5,15.0,
455.0,181.85,0.5,25.0,
455.0,181.85,0.5,35.0,
455.0,181.85,0.5,40.0,
455.0,181.85,0.5,50.0,
455.0,181.85,0.5,65.0,124452.77262522858
455.0,181.85,0.5,90.0,26203.39715494549
455.0,181.85,0.5,130.0,16769.25304808816
455.0,181.85,0.5,200.0,13578.777466055373
455.0,181.85,0.5,350.0,8386.462294754645
455.0,181.85,0.5,600.0,9157.28510535598
455.0,181.85,1.0,5.0,
455.0,181.85,1.0,15.0,
455.0,181.85,1.0,25.0,
455.0,181.85,1.0,35.0,15939.52904681662
455.0,181.85,1.0,40.0,8880.968004053793
455.0,181.85,1.0,50.0,5861.861825768416
455.0,181.85,1.0,65.0,5678.7337794972855
455.0,181.85,1.0,90.0,3218.8955936941466
455.0,181.85,1.0,130.0,3673.1657569145655
455.0,181.85,1.0,200.0,2233.425131186686
455.0,181.85,1.0,350.0,2541.6850862211295
455.0,181.85,1.0,600.0,2635.7140468320913
455.0,181.85,2.0,5.0,
455.0,181.85,2.0,15.0,
455.0,181.85,2.0,25.0,2052.4146168258203
455.0,181.85,2.0,35.0,1463.8832355316129
455.0,181.85,2.0,40.0,1354.9961253796805
455.0,181.85,2.0,50.0,1019.3437760146027
455.0,181.85,2.0,65.0,911.9267372213441
455.0,181.85,2.0,90.0,1026.1468029248663
455.0,181.85,2.0,130.0,825.8844169245971
455.0,181.85,2.0,200.0,671.2601402687673
455.0,181.85,2.0,350.0,662.723394219467
455.0,181.85,2.0,600.0,671.7915670761469
455.0,181.85,4.0,5.0,
455.0,181.85,4.0,15.0,556.9240200920563
455.0,181.85,4.0,25.0,377.1889794611645
455.0,181.85,4.0,35.0,364.83397577493065
455.0,181.85,4.0,40.0,298.3475246432559
455.0,181.85,4.0,50.0,311.3779390392702
455.0,181.85,4.0,65.0,320.90605298708306
455.0,181.85,4.0,90.0,269.1629411262363
455.0,181.85,4.0,130.0,293.725963400493
455.0,181.85,4.0,200.0,243.14059370406005
455.0,181.85,4.0,350.0,250.11253312441374
455.0,181.85,4.0,600.0,247.15746098744086
455.0,181.85,8.0,5.0,333.835932992411
455.0,181.85,8.0,15.0,143.23106766905116
455.0,181.85,8.0,25.0,109.4907223083756
455.0,181.85,8.0,35.0,112.04874978572803
455.0,181.85,8.0,40.0,118.42541001903025
455.0,181.85,8.0,50.0,115.43094325967353
455.0,181.85,8.0,65.0,117.0922898787238
455.0,181.85,8.0,90.0,102.66980183207119
455.0,181.85,8.0,130.0,96.49651318707267
455.0,181.85,8.0,200.0,100.55466577435716
455.0,181.85,8.0,350.0,78.36701966482107
455.0,181.85,8.0,600.0,80.87736390980538
456.42,183.27,0.5,5.0,
456.42,183.27,0.5,15.0,
456.42,183.27,0.5,25.0,
456.42,183.27,0.5,35.0,
456.42,183.27,0.5,40.0,
456.42,183.27,0.5,50.0,
456.42,183.27,0.5,65.0,85649.64269174972
456.42,183.27,0.5,90.0,20754.14326064123
456.42,183.27,0.5,130.0,15842.971759082937
456.42,183.27,0.5,200.0,10019.906087048306
456.42,183.27,0.5,350.0,9161.853320856902
456.42,183.27,0.5,600.0,10847.833664071488
456.42,183.27,1.0,5.0,
456.42,183.27,1.0,15.0,
456.42,183.27,1.0,25.0,
456.42,183.27,1.0,35.0,15066.88292952421
456.42,183.27,1.0,40.0,10144.688771519575
456.42,183.27,1.0,50.0,4934.624980838071
456.42,183.27,1.0,65.0,4088.8026358645448
456.42,183.27,1.0,90.0,2953.498495212423
456.42,183.27,1.0,130.0,2805.3769121563446
456.42,183.27,1.0,200.0,3030.094322324595
456.42,183.27,1.0,350.0,1916.5806629140354
456.42,183.27,1.0,600.0,2551.000000408671
456.42,183.27,2.0,5.0,
456.42,183.27,2.0,15.0,
456.42,183.27,2.0,25.0,1809.9960705034275
456.42,183.27,2.0,35.0,1118.3639927323875
456.42,183.27,2.0,40.0,899.8461750707979
456.42,183.27,2.0,50.0,1008.9074091087506
456.42,183.27,2.0,65.0,838.8813173149637
456.42,183.27,2.0,90.0,868.1390255663981
456.42,183.27,2.0,130.0,792.3546048132218
456.42,183.27,2.0,200.0,960.4070991702027
456.42,183.27,2.0,350.0,704.1758835751593
456.42,183.27,2.0,600.0,614.5695260822208
456.42,183.27,4.0,5.0,
456.42,183.27,4.0,15.0,493.4032430043812
456.42,183.27,4.0,25.0,354.5901791109864
456.42,183.27,4.0,35.0,374.77597375821836
456.42,183.27,4.0,40.0,335.0213639259726
456.42,183.27,4.0,50.0,298.07282606277204
456.42,183.27,4.0,65.0,338.1149771815708
456.42,183.27,4.0,90.0,219.20013476571873
456.42,183.27,4.0,130.0,231.53914256736834
456.42,183.27,4.0,200.0,217.13582353580162
456.42,183.27,4.0,350.0,231.476481679292
456.42,183.27,4.0,600.0,197.82130260968177
456.42,183.27,8.0,5.0,408.24968665559436
456.42,183.27,8.0,15.0,119.6607468126693
456.42,183.27,8.0,25.0,87.5499901740934
456.42,183.27,8.0,35.0,89.23771680052334
456.42,183.27,8.0,40.0,107.3161457305343
456.42,183.27,8.0,50.0,113.74879766889352
456.42,183.27,8.0,65.0,132.8532340329892
456.42,183.27,8.0,90.0,149.89738282714038
456.42,183.27,8.0,130.0,101.67116760348621
456.42,183.27,8.0,200.0,81.51680970743081
456.42,183.27,8.0,350.0,68.12042644992331
456.42,183.27,8.0,600.0,97.19684902889182
457.31,184.16,0.5,5.0,
457.31,184.16,0.5,15.0,
457.31,184.16,0.5,25.0,
457.31,184.16,0.5,35.0,
457.31,184.16,0.5,40.0,
457.31,184.16,0.5,50.0,
457.31,184.16,0.5,65.0,88326.66577185175
457.31,184.16,0.5,90.0,21635.653071860575
457.31,184.16,0.5,130.0,13004.020098760324
457.31,184.16,0.5,200.0,10735.866769461705
457.31,184.16,0.5,350.0,10869.743736945577
457.31,184.16,0.5,600.0,8731.62646667833
457.31,184.16,1.0,5.0,
457.31,184.16,1.0,15.0,
457.31,184.16,1.0,25.0,
457.31,184.16,1.0,35.0,14827.102320178205
457.31,184.16,1.0,40.0,7428.233801124367
457.31,184.16,1.0,50.0,4218.291172517664
457.31,184.16,1.0,65.0,3745.049529917222
457.31,184.16,1.0,90.0,3227.602320457318
457.31,184.16,1.0,130.0,3676.258679882741
457.31,184.16,1.0,200.0,2602.3162873179463
457.31,184.16,1.0,350.0,2749.3510603912127
457.31,184.16,1.0,600.0,2118.5688184098335
457.31,184.16,2.0,5.0,
457.31,184.16,2.0,15.0,
457.31,184.16,2.0,25.0,1396.8727541044138
457.31,184.16,2.0,35.0,1010.5907872424362
457.31,184.16,2.0,40.0,957.8218713693656
457.31,184.16,2.0,50.0,1312.1043572045155
457.31,184.16,2.0,65.0,767.0855745958759
457.31,184.16,2.0,90.0,908.2657758420268
457.31,184.16,2.0,130.0,658.922120005742
457.31,184.16,2.0,200.0,829.7625673972602
457.31,184.16,2.0,350.0,738.7705389709251
457.31,184.16,2.0,600.0,668.6523216275991
457.31,184.16,4.0,5.0,
457.31,184.16,4.0,15.0,456.06451270015157
457.31,184.16,4.0,25.0,297.0968745967752
457.31,184.16,4.0,35.0,312.20947605243805
457.31,184.16,4.0,40.0,263.74779269196483
457.31,184.16,4.0,50.0,224.5906783312722
457.31,184.16,4.0,65.0,214.11497969575626
457.31,184.16,4.0,90.0,256.8522553641308
457.31,184.16,4.0,130.0,308.5514431697887
457.31,184.16,4.0,200.0,244.15943351230396
457.31,184.16,4.0,350.0,230.3194413937172
457.31,184.16,4.0,600.0,242.5127233041898
457.31,184.16,8.0,5.0,431.30685856461105
457.31,184.16,8.0,15.0,122.14570444825733
457.31,184.16,8.0,25.0,98.05269400547263
457.31,184.16,8.0,35.0,117.20179292744639
457.31,184.16,8.0,40.0,104.31119822839861
457.31,184.16,8.0,50.0,120.65679657770244
457.31,184.16,8.0,65.0,96.69229977814341
457.31,184.16,8.0,90.0,76.97759787894924
457.31,184.16,8.0,130.0,74.34167421288092
457.31,184.16,8.0,200.0,115.72218745708072
457.31,184.16,8.0,350.0,116.04141326810576
457.31,184.16,8.0,600.0,86.83127903045616
459.62,186.47,0.5,5.0,
459.62,186.47,0.5,15.0,
459.62,186.47,0.5,25.0,
459.62,186.47,0.5,35.0,
459.62,186.47,0.5,40.0,
459.62,186.47,0.5,50.0,
459.62,186.47,0.5,65.0,83682.33710294709
459.62,186.47,0.5,90.0,25467.05362761141
459.62,186.47,0.5,130.0,10724.587749343718
459.62,186.47,0.5,200.0,8516.645654370332
459.62,186.47,0.5,350.0,9062.16378940328
459.62,186.47,0.5,600.0,7140.097394286756
459.62,186.47,1.0,5.0,
459.62,186.47,1.0,15.0,
459.62,186.47,1.0,25.0,
459.62,186.47,1.0,35.0,13477.296105324198
459.62,186.47,1.0,40.0,7520.5746931233825
459.62,186.47,1.0,50.0,5067.2159518249755
459.62,186.47,1.0,65.0,4419.498014508417
459.62,186.47,1.0,90.0,2929.7511122659525
459.62,186.47,1.0,130.0,2758.865967951986
459.62,186.47,1.0,200.0,1666.7202029190762
459.62,186.47,1.0,350.0,2092.101428593329
459.62,186.47,1.0,600.0,1787.2415263769053
459.62,186.47,2.0,5.0,
459.62,186.47,2.0,15.0,
459.62,186.47,2.0,25.0,1234.515279901398
459.62,186.47,2.0,35.0,909.4662110990744
459.62,186.47,2.0,40.0,902.212451767858
459.62,186.47,2.0,50.0,971.678743076164
459.62,186.47,2.0,65.0,631.6719987498764
459.62,186.47,2.0,90.0,714.7130932496149
459.62,186.47,2.0,130.0,623.2463215815903
459.62,186.47,2.0,200.0,610.1931159648728
459.62,186.47,2.0,350.0,719.9496001389575
459.62,186.47,2.0,600.0,659.1822402300799
459.62,186.47,4.0,5.0,
459.62,186.47,4.0,15.0,498.14000894627395
459.62,186.47,4.0,25.0,284.4687413644512
459.62,186.47,4.0,35.0,233.66651478276566
459.62,186.47,4.0,40.0,242.54440949370263
459.62,186.47,4.0,50.0,248.64290023014058
459.62,186.47,4.0,65.0,236.5625391572898
459.62,186.47,4.0,90.0,188.94905896647379
459.62,186.47,4.0,130.0,219.22994825941657
459.62,186.47,4.0,200.0,219.111283729592
459.62,186.47,4.0,350.0,303.811330598514
459.62,186.47,4.0,600.0,273.48034572025443
459.62,186.47,8.0,5.0,277.1214483984869
459.62,186.47,8.0,15.0,100.55678186731593
459.62,186.47,8.0,25.0,74.37728772033432
459.62,186.47,8.0,35.0,80.71065724936433
459.62,186.47,8.0,40.0,91.09735927897393
459.62,186.47,8.0,50.0,102.00150601604513
459.62,186.47,8.0,65.0,74.90411569742075
459.62,186.47,8.0,90.0,74.48409717372378
459.62,186.47,8.0,130.0,58.751989793415554
459.62,186.47,8.0,200.0,78.31006315519615
459.62,186.47,8.0,350.0,67.86754436684714
459.62,186.47,8.0,600.0,73.18582043832915
461.92,188.77,0.5,5.0,
461.92,188.77,0.5,15.0,
461.92,188.77,0.5,25.0,
461.92,188.77,0.5,35.0,
461.92,188.77,0.5,40.0,
461.92,188.77,0.5,50.0,
461.92,188.77,0.5,65.0,69069.80082738448
461.92,188.77,0.5,90.0,17924.531765154563
461.92,188.77,0.5,130.0,8645.831596437703
461.92,188.77,0.5,200.0,6947.038932107504
461.92,188.77,0.5,350.0,10065.730724805791
461.92,188.77,0.5,600.0,5550.81346447038
461.92,188.77,1.0,5.0,
461.92,188.77,1.0,15.0,
461.92,188.77,1.0,25.0,
461.92,188.77,1.0,35.0,10169.546651084036
461.92,188.77,1.0,40.0,9023.539925894323
461.92,188.77,1.0,50.0,6619.740216502561
461.92,188.77,1.0,65.0,2667.947722993384
461.92,188.77,1.0,90.0,2430.83078143825
461.92,188.77,1.0,130.0,2343.4001184710523
461.92,188.77,1.0,200.0,2611.249639565331
461.92,188.77,1.0,350.0,1615.4101974028993
461.92,188.77,1.0,600.0,1737.603625397239
461.92,188.77,2.0,5.0,
461.92,188.77,2.0,15.0,
461.92,188.77,2.0,25.0,1480.2954432039778
461.92,188.77,2.0,35.0,984.3054853314673
461.92,188.77,2.0,40.0,796.8654316234914
461.92,188.77,2.0,50.0,737.8253191022296
461.92,188.77,2.0,65.0,557.3734575244499
461.92,188.77,2.0,90.0,610.1477235095473
461.92,188.77,2.0,130.0,572.3494897877157
461.92,188.77,2.0,200.0,589.8643689002718
461.92,188.77,2.0,350.0,506.5429623850551
461.92,188.77,2.0,600.0,580.0731340059477
461.92,188.77,4.0,5.0,
461.92,188.77,4.0,15.0,421.71069647944427
461.92,188.77,4.0,25.0,264.87401965658825
461.92,188.77,4.0,35.0,243.0313604624028
461.92,188.77,4.0,40.0,224.72504647159417
461.92,188.77,4.0,50.0,213.10746325380606
461.92,188.77,4.0,65.0,183.76055698066492
461.92,188.77,4.0,90.0,207.21367113257892
461.92,188.77,4.0,130.0,189.44436689823044
461.92,188.77,4.0,200.0,257.6137658078493
461.92,188.77,4.0,350.0,234.37671276379103
461.92,188.77,4.0,600.0,194.36167692399593
461.92,188.77,8.0,5.0,249.6661092345757
461.92,188.77,8.0,15.0,78.97323788537147
461.92,188.77,8.0,25.0,98.44313333736893
461.92,188.77,8.0,35.0,81.53478602320813
461.92,188.77,8.0,40.0,82.99250195278519
461.92,188.77,8.0,50.0,58.239413060866
461.92,188.77,8.0,65.0,85.35575499797065
461.92,188.77,8.0,90.0,78.1798035543727
461.92,188.77,8.0,130.0,61.00735691796201
461.92,188.77,8.0,200.0,66.45253751375759
461.92,188.77,8.0,350.0,73.59803743625464
461.92,188.77,8.0,600.0,70.9821413586663
464.23,191.08,0.5,5.0,
464.23,191.08,0.5,15.0,
464.23,191.08,0.5,25.0,
464.23,191.08,0.5,35.0,
464.23,191.08,0.5,40.0,
464.23,191.08,0.5,50.0,
464.23,191.08,0.5,65.0,67058.77873353733
464.23,191.08,0.5,90.0,15919.342800534238
464.23,191.08,0.5,130.0,9637.757445332521
464.23,191.08,0.5,200.0,7877.457271273858
464.23,191.08,0.5,350.0,8111.005775813929
464.23,191.08,0.5,600.0,4074.7426822973953
464.23,191.08,1.0,5.0,
464.23,191.08,1.0,15.0,
464.23,191.08,1.0,25.0,
464.23,191.08,1.0,35.0,10289.62823146284
464.23,191.08,1.0,40.0,6255.900103661024
464.23,191.08,1.0,50.0,3980.6441026218217
464.23,191.08,1.0,65.0,2675.1510121986294
464.23,191.08,1.0,90.0,1755.4244006954414
464.23,191.08,1.0,130.0,2079.8949710056295
464.23,191.08,1.0,200.0,2321.8755187146
464.23,191.08,1.0,350.0,1323.5092856716933
464.23,191.08,1.0,600.0,1825.0754107636762
464.23,191.08,2.0,5.0,
464.23,191.08,2.0,15.0,
464.23,191.08,2.0,25.0,1115.2858756520895
464.23,191.08,2.0,35.0,812.6262034024963
464.23,191.08,2.0,40.0,640.2911187553212
464.23,191.08,2.0,50.0,636.7394921651401
464.23,191.08,2.0,65.0,740.4255193018967
464.23,191.08,2.0,90.0,613.7415654934815
464.23,191.08,2.0,130.0,686.9786099194495
464.23,191.08,2.0,200.0,604.5155649310014
464.23,191.08,2.0,350.0,522.9677077230157
464.23,191.08,2.0,600.0,624.3818249880301
464.23,191.08,4.0,5.0,
464.23,191.08,4.0,15.0,344.12660164817606
464.23,191.08,4.0,25.0,260.5739332542362
464.23,191.08,4.0,35.0,196.11277514046665
464.23,191.08,4.0,40.0,200.2636404037235
464.23,191.08,4.0,50.0,170.70191006624998
464.23,191.08,4.0,65.0,211.25234687131416
464.23,191.08,4.0,90.0,147.2717171971135
464.23,191.08,4.0,130.0,192.24862095565388
464.23,191.08,4.0,200.0,162.65591481283843
464.23,191.08,4.0,350.0,196.24463606680098
464.23,191.08,4.0,600.0,182.58623717145397
464.23,191.08,8.0,5.0,327.15316582399424
464.23,191.08,8.0,15.0,92.60428821568257
464.23,191.08,8.0,25.0,57.844019255068766
464.23,191.08,8.0,35.0,69.0149317151233
464.23,191.08,8.0,40.0,57.608848022469076
464.23,191.08,8.0,50.0,62.25611345260819
464.23,191.08,8.0,65.0,82.85937211374511
464.23,191.08,8.0,90.0,71.4663607190139
464.23,191.08,8.0,130.0,57.71216547982249
464.23,191.08,8.0,200.0,54.48402712303222
464.23,191.08,8.0,350.0,63.22669393673132
464.23,191.08,8.0,600.0,52.18644381278594
466.54,193.39,0.5,5.0,
466.54,193.39,0.5,15.0,
466.54,193.39,0.5,25.0,
466.54,193.39,0.5,35.0,
466.54,193.39,0.5,40.0,
466.54,193.39,0.5,50.0,
466.54,193.39,0.5,65.0,56377.56318497636
466.54,193.39,0.5,90.0,15077.5465999628
466.54,193.39,0.5,130.0,10592.317365018744
466.54,193.39,0.5,200.0,7506.596087832473
466.54,193.39,0.5,350.0,4104.778376794106
466.54,193.39,0.5,600.0,5577.87830855629
466.54,193.39,1.0,5.0,
466.54,193.39,1.0,15.0,
466.54,193.39,1.0,25.0,
466.54,193.39,1.0,35.0,9590.913057018563
466.54,193.39,1.0,40.0,5768.884951459996
466.54,193.39,1.0,50.0,4318.132826463483
466.54,193.39,1.0,65.0,1847.1693301453397
466.54,193.39,1.0,90.0,1860.6027659377237
466.54,193.39,1.0,130.0,1925.3372005031158
466.54,193.39,1.0,200.0,1257.8207728113389
466.54,193.39,1.0,350.0,1849.851608965594
466.54,193.39,1.0,600.0,1507.7940594344807
466.54,193.39,2.0,5.0,
466.54,193.39,2.0,15.0,
466.54,193.39,2.0,25.0,1183.7936533574236
466.54,193.39,2.0,35.0,669.9314742751753
466.54,193.39,2.0,40.0,753.9072682107611
466.54,193.39,2.0,50.0,699.3468783587476
466.54,193.39,2.0,65.0,561.4356471159158
466.54,193.39,2.0,90.0,518.3666870828154
466.54,193.39,2.0,130.0,490.9562398252597
466.54,193.39,2.0,200.0,396.09771782766126
466.54,193.39,2.0,350.0,426.1854208866126
466.54,193.39,2.0,600.0,418.06654539456736
466.54,193.39,4.0,5.0,
466.54,193.39,4.0,15.0,303.6928477687822
466.54,193.39,4.0,25.0,237.93776365325584
466.54,193.39,4.0,35.0,155.67059523915879
466.54,193.39,4.0,40.0,173.16563625944616
466.54,193.39,4.0,50.0,210.62890118700898
466.54,193.39,4.0,65.0,144.95518838204345
466.54,193.39,4.0,90.0,138.24596250064397
466.54,193.39,4.0,130.0,156.8249022207838
466.54,193.39,4.0,200.0,169.05761139126426
466.54,193.39,4.0,350.0,146.75080825010897
466.54,193.39,4.0,600.0,177.20077859122696
466.54,193.39,8.0,5.0,251.94170462255278
466.54,193.39,8.0,15.0,83.79215219412148
466.54,193.39,8.0,25.0,70.81144754222036
466.54,193.39,8.0,35.0,87.95813140243834
466.54,193.39,8.0,40.0,59.26684781279623
466.54,193.39,8.0,50.0,44.336908051441945
466.54,193.39,8.0,65.0,74.77217666631933
466.54,193.39,8.0,90.0,53.96247896953531
466.54,193.39,8.0,130.0,57.9648458255797
466.54,193.39,8.0,200.0,68.69970354425969
466.54,193.39,8.0,350.0,44.027632017472314
466.54,193.39,8.0,600.0,46.19662771677802
468.85,195.7,0.5,5.0,
468.85,195.7,0.5,15.0,
468.85,195.7,0.5,25.0,
468.85,195.7,0.5,35.0,
468.85,195.7,0.5,40.0,
468.85,195.7,0.5,50.0,
468.85,195.7,0.5,65.0,43662.42860142145
468.85,195.7,0.5,90.0,11372.772860279005
468.85,195.7,0.5,130.0,8471.562847688056
468.85,195.7,0.5,200.0,6599.760947895375
468.85,195.7,0.5,350.0,5372.125640414678
468.85,195.7,0.5,600.0,3838.861894671207
468.85,195.7,1.0,5.0,
468.85,195.7,1.0,15.0,
468.85,195.7,1.0,25.0,
468.85,195.7,1.0,35.0,5974.096676464188
468.85,195.7,1.0,40.0,4867.038629773178
468.85,195.7,1.0,50.0,2811.062696895667
468.85,195.7,1.0,65.0,2401.2401741902195
468.85,195.7,1.0,90.0,2011.330455006681
468.85,195.7,1.0,130.0,1601.8172215909265
468.85,195.7,1.0,200.0,1591.3411659398098
468.85,195.7,1.0,350.0,1366.1985934482257
468.85,195.7,1.0,600.0,1375.532968128248
468.85,195.7,2.0,5.0,
468.85,195.7,2.0,15.0,
468.85,195.7,2.0,25.0,835.2476720108641
468.85,195.7,2.0,35.0,632.5837528910712
468.85,195.7,2.0,40.0,611.9549051224976
468.85,195.7,2.0,50.0,599.9778673970504
468.85,195.7,2.0,65.0,455.0656254217244
468.85,195.7,2.0,90.0,481.8511248653581
468.85,195.7,2.0,130.0,403.37435643415586
468.85,195.7,2.0,200.0,394.44068258659007
468.85,195.7,2.0,350.0,439.38192812398256
468.85,195.7,2.0,600.0,282.4488024619189
468.85,195.7,4.0,5.0,
468.85,195.7,4.0,15.0,210.18209057055404
468.85,195.7,4.0,25.0,146.0056115047546
468.85,195.7,4.0,35.0,114.48199485461315
468.85,195.7,4.0,40.0,141.91064803633532
468.85,195.7,4.0,50.0,168.04502275155278
468.85,195.7,4.0,65.0,138.26437782739384
468.85,195.7,4.0,90.0,143.44874746677675
468.85,195.7,4.0,130.0,159.509577363591
468.85,195.7,4.0,200.0,161.85033566099727
468.85,195.7,4.0,350.0,129.10018465588448
468.85,195.7,4.0,600.0,158.36691494287714
468.85,195.7,8.0,5.0,200.02352640090447
468.85,195.7,8.0,15.0,57.997155754421534
468.85,195.7,8.0,25.0,53.0736466487059
468.85,195.7,8.0,35.0,44.23736704439884
468.85,195.7,8.0,40.0,47.63375394871485
468.85,195.7,8.0,50.0,50.530679668653256
468.85,195.7,8.0,65.0,59.04399270524952
468.85,195.7,8.0,90.0,66.61945958592231
468.85,195.7,8.0,130.0,41.275321819821684
468.85,195.7,8.0,200.0,53.312656558893416
468.85,195.7,8.0,350.0,42.649354451075396
468.85,195.7,8.0,600.0,53.292510642903075
469.84,196.69,0.5,5.0,
469.84,196.69,0.5,15.0,
469.84,196.69,0.5,25.0,
469.84,196.69,0.5,35.0,
469.84,196.69,0.5,40.0,
469.84,196.69,0.5,50.0,
469.84,196.69,0.5,65.0,51785.33011818867
469.84,196.69,0.5,90.0,9260.86041508304
469.84,196.69,0.5,130.0,8672.042140735386
469.84,196.69,0.5,200.0,5300.204389989991
469.84,196.69,0.5,350.0,4525.7700645910645
469.84,196.69,0.5,600.0,3844.786985029674
469.84,196.69,1.0,5.0,
469.84,196.69,1.0,15.0,
469.84,196.69,1.0,25.0,
469.84,196.69,1.0,35.0,7285.573540200728
469.84,196.69,1.0,40.0,4896.919995536624
469.84,196.69,1.0,50.0,2789.974870078164
469.84,196.69,1.0,65.0,2239.980177880197
469.84,196.69,1.0,90.0,1818.2634443057543
469.84,196.69,1.0,130.0,1819.5551001072458
469.84,196.69,1.0,200.0,1283.0364751220202
469.84,196.69,1.0,350.0,1006.2313285310624
469.84,196.69,1.0,600.0,1418.3655177166927
469.84,196.69,2.0,5.0,
469.84,196.69,2.0,15.0,
469.84,196.69,2.0,25.0,840.3313653580129
469.84,196.69,2.0,35.0,730.7222621258522
469.84,196.69,2.0,40.0,598.6870375973378
469.84,196.69,2.0,50.0,494.83932057161917
469.84,196.69,2.0,65.0,483.91508114023515
469.84,196.69,2.0,90.0,568.0459034404254
469.84,196.69,2.0,130.0,545.3229522022561
469.84,196.69,2.0,200.0,385.9074223774803
469.84,196.69,2.0,350.0,378.06268008931505
469.84,196.69,2.0,600.0,425.8054799551969
469.84,196.69,4.0,5.0,
469.84,196.69,4.0,15.0,213.937985619881
469.84,196.69,4.0,25.0,182.36745959637892
469.84,196.69,4.0,35.0,153.95660703087665
469.84,196.69,4.0,40.0,156.6656249963755
469.84,196.69,4.0,50.0,126.07812685010028
469.84,196.69,4.0,65.0,108.15391577732525
469.84,196.69,4.0,90.0,97.07190787373605
469.84,196.69,4.0,130.0,108.98431405052412
469.84,196.69,4.0,200.0,117.77877546190766
469.84,196.69,4.0,350.0,118.75599422696742
469.84,196.69,4.0,600.0,164.44096281535045
469.84,196.69,8.0,5.0,221.54046018621517
469.84,196.69,8.0,15.0,54.151207680261095
469.84,196.69,8.0,25.0,58.15355825481818
469.84,196.69,8.0,35.0,49.4359958880436
469.84,196.69,8.0,40.0,49.61024514792177
469.84,196.69,8.0,50.0,52.15250733479994
469.84,196.69,8.0,65.0,54.63698086553522
469.84,196.69,8.0,90.0,46.529322838729136
469.84,196.69,8.0,130.0,56.67085077747805
469.84,196.69,8.0,200.0,40.28781825309909
469.84,196.69,8.0,350.0,47.47175141273709
469.84,196.69,8.0,600.0,69.70921668709565
471.15,198.0,0.5,5.0,
471.15,198.0,0.5,15.0,
471.15,198.0,0.5,25.0,
471.15,198.0,0.5,35.0,
471.15,198.0,0.5,40.0,
471.15,198.0,0.5,50.0,
471.15,198.0,0.5,65.0,51144.84589198996
471.15,198.0,0.5,90.0,14151.843079132233
471.15,198.0,0.5,130.0,7163.635754419133
471.15,198.0,0.5,200.0,5930.104956703351
471.15,198.0,0.5,350.0,4552.994535864345
471.15,198.0,0.5,600.0,4120.810149972277
471.15,198.0,1.0,5.0,
471.15,198.0,1.0,15.0,
471.15,198.0,1.0,25.0,
471.15,198.0,1.0,35.0,6696.239863198637
