T_K,T_C,J_MA_cm2,MTTF_hours,Ea_eff_eV_ground_truth,n_eff_ground_truth
489.62,216.47,4.0,29.685672161954486,0.9912,1.4545
489.62,216.47,8.0,18.925560728579477,0.9912,1.2941
491.92,218.77,0.5,1124.7588660028705,0.9957,1.8696
491.92,218.77,1.0,335.7632589729849,0.9957,1.7692
491.92,218.77,2.0,126.96051483427868,0.9957,1.625
491.92,218.77,4.0,43.49753666270987,0.9957,1.4545
491.92,218.77,8.0,15.068770125164493,0.9957,1.2941
494.23,221.08,0.5,964.7390966454819,1.0001,1.8696
494.23,221.08,1.0,371.6394746089635,1.0001,1.7692
494.23,221.08,2.0,99.75835422200369,1.0001,1.625
494.23,221.08,4.0,37.531176789610804,1.0001,1.4545
494.23,221.08,8.0,17.809635032965417,1.0001,1.2941
496.54,223.39,0.5,1378.6492066853198,1.0044,1.8696
496.54,223.39,1.0,304.15792066336587,1.0044,1.7692
496.54,223.39,2.0,99.9827602140006,1.0044,1.625
496.54,223.39,4.0,33.174744057362254,1.0044,1.4545
496.54,223.39,8.0,13.839356336097765,1.0044,1.2941
496.68,223.53,0.5,1248.7465836647532,1.0047,1.8696
496.68,223.53,1.0,327.99412672374535,1.0047,1.7692
496.68,223.53,2.0,92.29233730408245,1.0047,1.625
496.68,223.53,4.0,32.92371085657478,1.0047,1.4545
496.68,223.53,8.0,14.688672601239785,1.0047,1.2941
498.85,225.7,0.5,1240.0008477489425,1.0088,1.8696
498.85,225.7,1.0,406.20821851508003,1.0088,1.7692
498.85,225.7,2.0,77.11602478014865,1.0088,1.625
498.85,225.7,4.0,31.390018279181266,1.0088,1.4545
498.85,225.7,8.0,9.796229518043178,1.0088,1.2941
501.15,228.0,0.5,806.3411042225645,1.013,1.8696
501.15,228.0,1.0,169.39113339339207,1.013,1.7692
501.15,228.0,2.0,67.77457635136663,1.013,1.625
501.15,228.0,4.0,23.677398405124528,1.013,1.4545
501.15,228.0,8.0,7.856173212770682,1.013,1.2941
503.46,230.31,0.5,838.1446586958568,1.0172,1.8696
503.46,230.31,1.0,255.08319855375717,1.0172,1.7692
503.46,230.31,2.0,65.84716401105709,1.0172,1.625
503.46,230.31,4.0,26.978276866225936,1.0172,1.4545
503.46,230.31,8.0,10.501656262342049,1.0172,1.2941
505.77,232.62,0.5,526.3851833418406,1.0214,1.8696
505.77,232.62,1.0,170.378324100121,1.0214,1.7692
505.77,232.62,2.0,55.82937663719508,1.0214,1.625
505.77,232.62,4.0,18.306198879500563,1.0214,1.4545
505.77,232.62,8.0,7.679094731414295,1.0214,1.2941
508.08,234.93,0.5,636.2952476096681,1.0255,1.8696
508.08,234.93,1.0,171.88255426236438,1.0255,1.7692
508.08,234.93,2.0,67.80003177220435,1.0255,1.625
508.08,234.93,4.0,24.115077045219827,1.0255,1.4545
508.08,234.93,8.0,9.32276183526959,1.0255,1.2941
510.11,236.96,0.5,573.2718736834529,1.0291,1.8696
510.11,236.96,1.0,173.02724084178968,1.0291,1.7692
510.11,236.96,2.0,71.57952444936325,1.0291,1.625
510.11,236.96,4.0,20.219930009081637,1.0291,1.4545
510.11,236.96,8.0,8.050036070367938,1.0291,1.2941
510.38,237.23,0.5,607.5438689622783,1.0296,1.8696
510.38,237.23,1.0,204.8593148241355,1.0296,1.7692
510.38,237.23,2.0,58.66740415818552,1.0296,1.625
510.38,237.23,4.0,16.966818119707565,1.0296,1.4545
510.38,237.23,8.0,5.467291249864109,1.0296,1.2941
512.69,239.54,0.5,445.6752965338589,1.0336,1.8696
512.69,239.54,1.0,180.44857279786893,1.0336,1.7692
512.69,239.54,2.0,52.05857896555615,1.0336,1.625
512.69,239.54,4.0,15.208421455720066,1.0336,1.4545
512.69,239.54,8.0,5.234373218025905,1.0336,1.2941
515.0,241.85,0.5,534.4863675472427,1.0375,1.8696
515.0,241.85,1.0,105.27616688535294,1.0375,1.7692
515.0,241.85,2.0,38.636399729987396,1.0375,1.625
515.0,241.85,4.0,13.627482836137222,1.0375,1.4545
515.0,241.85,8.0,4.897245440031159,1.0375,1.2941
517.31,244.16,0.5,396.43258238190543,1.0414,1.8696
517.31,244.16,1.0,151.99207231396065,1.0414,1.7692
517.31,244.16,2.0,35.72552548626076,1.0414,1.625
517.31,244.16,4.0,11.319962314729954,1.0414,1.4545
517.31,244.16,8.0,4.327695179019901,1.0414,1.2941
519.62,246.47,0.5,442.73512952834886,1.0452,1.8696
519.62,246.47,1.0,106.20290521471173,1.0452,1.7692
519.62,246.47,2.0,35.26365831850582,1.0452,1.625
519.62,246.47,4.0,11.438213573822287,1.0452,1.4545
519.62,246.47,8.0,4.236020136890955,1.0452,1.2941
521.92,248.77,0.5,379.7609083176395,1.0489,1.8696
521.92,248.77,1.0,80.84055702156496,1.0489,1.7692
521.92,248.77,2.0,31.08472994522496,1.0489,1.625
521.92,248.77,4.0,10.509298210236823,1.0489,1.4545
521.92,248.77,8.0,3.6800796314582658,1.0489,1.2941
523.53,250.38,0.5,258.7099658374865,1.0514,1.8696
523.53,250.38,1.0,97.93655353057181,1.0514,1.7692
523.53,250.38,2.0,25.31081444702931,1.0514,1.625
523.53,250.38,4.0,8.192280233175952,1.0514,1.4545
523.53,250.38,8.0,3.8781460680775215,1.0514,1.2941
524.23,251.08,0.5,315.7608197952096,1.0526,1.8696
524.23,251.08,1.0,68.59686255757676,1.0526,1.7692
524.23,251.08,2.0,26.907261512108022,1.0526,1.625
524.23,251.08,4.0,6.9195807102525,1.0526,1.4545
524.23,251.08,8.0,3.9597003507862634,1.0526,1.2941
526.54,253.39,0.5,271.6215517848234,1.0561,1.8696
526.54,253.39,1.0,99.13154773859009,1.0561,1.7692
526.54,253.39,2.0,23.06643153402933,1.0561,1.625
526.54,253.39,4.0,6.811379764173947,1.0561,1.4545
526.54,253.39,8.0,2.982978713764921,1.0561,1.2941
528.85,255.7,0.5,332.94399781002215,1.0597,1.8696
528.85,255.7,1.0,61.15619233832389,1.0597,1.7692
528.85,255.7,2.0,17.49066260858193,1.0597,1.625
528.85,255.7,4.0,7.756231267226743,1.0597,1.4545
528.85,255.7,8.0,2.3526083344286763,1.0597,1.2941
531.15,258.0,0.5,191.8259460194613,1.0631,1.8696
531.15,258.0,1.0,52.945380361884524,1.0631,1.7692
531.15,258.0,2.0,18.84371099581034,1.0631,1.625
531.15,258.0,4.0,5.8798395715650935,1.0631,1.4545
531.15,258.0,8.0,2.6142338120571558,1.0631,1.2941
533.46,260.31,0.5,267.54792469978634,1.0665,1.8696
533.46,260.31,1.0,58.897329321802914,1.0665,1.7692
533.46,260.31,2.0,18.67606462854828,1.0665,1.625
533.46,260.31,4.0,6.43885000374962,1.0665,1.4545
533.46,260.31,8.0,2.4535127984714538,1.0665,1.2941
535.77,262.62,0.5,166.70553304747258,1.0698,1.8696
535.77,262.62,1.0,64.54043240093748,1.0698,1.7692
535.77,262.62,2.0,18.74272838506042,1.0698,1.625
535.77,262.62,4.0,4.668240820353487,1.0698,1.4545
535.77,262.62,8.0,2.2944553401621555,1.0698,1.2941
536.95,263.8,0.5,173.19956408627877,1.0715,1.8696
536.95,263.8,1.0,36.480281598832995,1.0715,1.7692
536.95,263.8,2.0,14.113424218850488,1.0715,1.625
536.95,263.8,4.0,6.720282133539619,1.0715,1.4545
536.95,263.8,8.0,2.2191228360416675,1.0715,1.2941
538.08,264.93,0.5,172.6605199081477,1.0731,1.8696
538.08,264.93,1.0,66.85352180810011,1.0731,1.7692
538.08,264.93,2.0,15.336264903455497,1.0731,1.625
538.08,264.93,4.0,5.844164931007891,1.0731,1.4545
538.08,264.93,8.0,1.754937963169355,1.0731,1.2941
540.38,267.23,0.5,185.54622217675495,1.0762,1.8696
540.38,267.23,1.0,45.73238226693676,1.0762,1.7692
540.38,267.23,2.0,10.307067562234371,1.0762,1.625
540.38,267.23,4.0,3.481755652291039,1.0762,1.4545
540.38,267.23,8.0,1.8977824724525325,1.0762,1.2941
542.69,269.54,0.5,182.0990860049235,1.0793,1.8696
542.69,269.54,1.0,39.92608281674925,1.0793,1.7692
542.69,269.54,2.0,9.99864596993951,1.0793,1.625
542.69,269.54,4.0,4.801618075085935,1.0793,1.4545
542.69,269.54,8.0,1.3488476906307372,1.0793,1.2941
545.0,271.85,0.5,112.41781574762659,1.0824,1.8696
545.0,271.85,1.0,38.04320542278302,1.0824,1.7692
545.0,271.85,2.0,13.23558967227282,1.0824,1.625
545.0,271.85,4.0,4.485825406542137,1.0824,1.4545
545.0,271.85,8.0,1.3682736199464307,1.0824,1.2941
550.37,277.22,0.5,104.9668050082042,1.0891,1.8696
550.37,277.22,1.0,39.88167693716589,1.0891,1.7692
550.37,277.22,2.0,9.002795511951,1.0891,1.625
550.37,277.22,4.0,3.423908431032118,1.0891,1.4545
550.37,277.22,8.0,1.2795221811047899,1.0891,1.2941
563.79,290.64,0.5,61.09572327310719,1.1045,1.8696
563.79,290.64,1.0,19.454547851452453,1.1045,1.7692
563.79,290.64,2.0,5.458603524429632,1.1045,1.625
563.79,290.64,4.0,1.9230024038838642,1.1045,1.4545
563.79,290.64,8.0,0.734154517118496,1.1045,1.2941
577.21,304.06,0.5,26.70638515831085,1.1177,1.8696
577.21,304.06,1.0,11.414112564311823,1.1177,1.7692
577.21,304.06,2.0,3.018773461517914,1.1177,1.625
577.21,304.06,4.0,0.8852249119225618,1.1177,1.4545
577.21,304.06,8.0,0.36866396113163025,1.1177,1.2941
590.63,317.48,0.5,18.0771066586619,1.129,1.8696
590.63,317.48,1.0,5.651496039755832,1.129,1.7692
590.63,317.48,2.0,1.8694212373160806,1.129,1.625
590.63,317.48,4.0,0.6084572168417436,1.129,1.4545
590.63,317.48,8.0,0.32929393741540997,1.129,1.2941
604.05,330.9,0.5,12.950325941984156,1.1386,1.8696
604.05,330.9,1.0,3.221647120678263,1.1386,1.7692
604.05,330.9,2.0,1.050409632401953,1.1386,1.625
604.05,330.9,4.0,0.4044910355966933,1.1386,1.4545
604.05,330.9,8.0,0.16214273405156246,1.1386,1.2941
617.47,344.32,0.5,8.344115096920053,1.1468,1.8696
617.47,344.32,1.0,2.713304280899653,1.1468,1.7692
617.47,344.32,2.0,0.5131581051998728,1.1468,1.625
617.47,344.32,4.0,0.2842789606221122,1.1468,1.4545
617.47,344.32,8.0,0.12358854296815414,1.1468,1.2941
630.89,357.74,0.5,5.102387697857043,1.1538,1.8696
630.89,357.74,1.0,1.1901458690846105,1.1538,1.7692
630.89,357.74,2.0,0.42452805298781904,1.1538,1.625
630.89,357.74,4.0,0.1820209382579187,1.1538,1.4545
630.89,357.74,8.0,0.05170049572157699,1.1538,1.2941
644.32,371.17,0.5,3.0648524414014697,1.1597,1.8696
644.32,371.17,1.0,0.883984857300511,1.1597,1.7692
644.32,371.17,2.0,0.2560868754006722,1.1597,1.625
644.32,371.17,4.0,0.099067567087131,1.1597,1.4545
644.32,371.17,8.0,0.034955215807932385,1.1597,1.2941
657.74,384.59,0.5,1.937648140807687,1.1647,1.8696
657.74,384.59,1.0,0.6557123791502343,1.1647,1.7692
657.74,384.59,2.0,0.17601256122172057,1.1647,1.625
657.74,384.59,4.0,0.06285282130141043,1.1647,1.4545
657.74,384.59,8.0,0.022253197686453202,1.1647,1.2941
671.16,398.01,0.5,1.4944844348619035,1.169,1.8696
671.16,398.01,1.0,0.4064467069740226,1.169,1.7692
671.16,398.01,2.0,0.10626262564614755,1.169,1.625
671.16,398.01,4.0,0.04419748075319954,1.169,1.4545
671.16,398.01,8.0,0.018377232154168373,1.169,1.2941
684.58,411.43,0.5,0.8524273287122685,1.1727,1.8696
684.58,411.43,1.0,0.2808562034825327,1.1727,1.7692
684.58,411.43,2.0,0.08267715970803008,1.1727,1.625
684.58,411.43,4.0,0.030930653258207343,1.1727,1.4545
684.58,411.43,8.0,0.012199889435085461,1.1727,1.2941
698.0,424.85,0.5,0.6437929556445068,1.1758,1.8696
698.0,424.85,1.0,0.16140971909984425,1.1758,1.7692
698.0,424.85,2.0,0.05358701034173581,1.1758,1.625
698.0,424.85,4.0,0.02338125046225738,1.1758,1.4545
698.0,424.85,8.0,0.007622108418101298,1.1758,1.2941
